Category,Question,correct answer,answer2,answer3,answer4
Baby,What sound does a cow make?,Moo,Baa,Meow,Oink  
Baby,What do babies drink?,Milk,Juice,Soda,Tea  
Baby,What color is a banana?,Yellow,Blue,Red,Green  
Baby,What animal says "meow"?,Cat,Dog,Cow,Duck  
Baby,Where do you wear a diaper?,Bottom,Head,Feet,Hands  
Baby,What is 1 + 1?,2,1,3,4  
Baby,Which animal has a long trunk?,Elephant,Dog,Cat,Giraffe  
Baby,What color is an apple?,Red,Blue,Black,Purple  
Baby,Which animal hops?,Kangaroo,Turtle,Snake,Cow  
Baby,What do you put in your mouth to eat?,Spoon,Hat,Foot,Crayon  
Baby,What is round and bounces?,Ball,Book,Shoe,Car  
Baby,What do you wear on your head?,Hat,Shoe,Diaper,Glove  
Baby,What animal goes "woof"?,Dog,Cow,Cat,Duck  
Baby,What do you drink from?,Cup,Shoe,Book,Box  
Baby,What do you sleep in?,Crib,Sink,Box,Closet  
Baby,Which animal quacks?,Duck,Cow,Dog,Cat  
Baby,How many legs does a dog have?,4,2,6,8  
Baby,Which fruit is red and has seeds?,Strawberry,Carrot,Potato,Pea  
Baby,What flies in the sky?,Bird,Cow,Dog,Chair  
Baby,What is soft and cuddly?,Teddy bear,Rock,Car,Pencil  
Baby,What color is an orange?,Orange,Green,Blue,Red  
Baby,What is cold and comes in a cone?,Ice cream,Bread,Cookie,Water  
Baby,What do babies wear on their feet?,Booties,Gloves,Hats,Bibs  
Baby,What do you wear when it rains?,Raincoat,T-Shirt,Shorts,Scarf  
Baby,What do you use to color?,Crayons,Forks,Shoes,Spoons  
Baby,What do you blow to make float?,Balloons,Blocks,Chairs,Socks  
Baby,Which animal is big and gray?,Elephant,Frog,Monkey,Sheep  
Baby,Where do you sit?,Chair,Table,Closet,Toilet  
Baby,What is shaped like a circle?,Ball,Book,Box,Spoon  
Baby,What animal goes "baa"?,Sheep,Duck,Cow,Dog  
Baby,What do you eat for breakfast?,Cereal,Pizza,Cake,Ice cream  
Baby,What do you brush?,Teeth,Ears,Feet,Fingers  
Baby,Where do you wear mittens?,Hands,Feet,Legs,Head  
Baby,What is yellow and shines?,Sun,Apple,Duck,Cloud  
Baby,Which animal has a shell?,Turtle,Cow,Dog,Fish  
Baby,What do you wear when it's cold?,Coat,Swimsuit,Shorts,Sandals  
Baby,What do you ride in on a walk?,Stroller,Bed,High chair,Sink  
Baby,What do you use to eat soup?,Spoon,Fork,Straw,Crayon  
Baby,What color is a lemon?,Yellow,Blue,Red,Brown  
Baby,What do babies play with?,Toys,Books,Keys,Plates 
Animal,What is the average lifespan of a pet rat?,2 to 3 years,5 to 7 years,10 to 12 years,1 year
Animal,Which species is the most common pet rat?,Brown rat,Black rat,Roof rat,Marsh rat
Animal,What is a group of rats called?,A mischief,A murder,A herd,A school
Animal,What task can a rat learn to do?,Navigate mazes,Fly short distances,Swim underwater for hours,Change their fur color
Animal,What sense is most developed in rats?,Sense of smell,Sense of sight,Sense of taste,Sense of hearing
Animal,Which disease are rats historically associated with spreading?,Bubonic plague,Malaria,Smallpox,Cholera
Animal,What do rats use their whiskers for?,Sensing their environment,Catching prey,Attracting mates,Climbing trees
Animal,Which part of a rat continues to grow throughout its life?,Teeth,Ears,Tail,Claws
Animal,How do rats communicate with each other?,High-frequency sounds visible only to them,By changing fur color,By glowing in the dark,Through touch only
Animal,Which of these is a common behavior in rats?,Grooming each other to bond,Burying food underground,Hibernating in winter,Living alone in the wild
Animal,What is a male chicken called?,Rooster,Hen,Chick,Pullet
Animal,How long does it take for a chicken egg to hatch?,21 days,14 days,30 days,10 days
Animal,What is the purpose of a chicken’s comb?,Regulates body temperature,Helps them fly,Stores food,Attracts insects
Animal,Which breed is known for laying the most eggs?,Leghorn,Silkie,Brahma,Orpington
Animal,What do chickens primarily eat?,Grains and insects,Leaves and grass,Fish and meat,Fruit only
Animal,What is the term for a young female chicken?,Pullet,Cockerel,Hen,Rooster
Animal,How many toes do most chickens have?,Four,Three,Five,Six
Animal,What is a chicken’s gizzard used for?,Grinding food,Fighting bacteria,Producing eggs,Filtering toxins
Animal,What is the red flap of skin under a chicken’s beak called?,Wattle,Crest,Comb,Gill
Animal,At what age do most hens start laying eggs?,Around 5 to 6 months,At birth,Around 1 year,Around 2 months
Animal,Where do fish live?,Water,Tree,Sky,Grass  
Animal,What do fish use to swim?,Fins,Arms,Legs,Wings  
Animal,What covers a fish's body?,Scales,Fur,Feathers,Shell  
Animal,What do fish breathe with?,Gills,Lungs,Nose,Ears  
Animal,Which of these is a type of fish?,Goldfish,Hamster,Eagle,Horse  
Animal,What is a baby fish called?,Fry,Cub,Chick,Pup  
Animal,What do fish eat?,Worms,Bread,Leaves,Grass  
Animal,What is the biggest fish?,Whale shark,Goldfish,Tuna,Octopus  
Animal,Which fish can puff up like a ball?,Pufferfish,Clownfish,Swordfish,Catfish  
Animal,Which fish is orange with white stripes?,Clownfish,Shark,Eel,Trout
Animal,Which bird is known for mimicking sounds?,Parrot,Penguin,Duck,Sparrow  
Animal,What is the fastest bird in the world?,Peregrine falcon,Eagle,Ostrich,Hawk  
Animal,Which bird can't fly?,Ostrich,Eagle,Hawk,Parrot  
Animal,What do birds use to fly?,Wings,Arms,Fins,Legs  
Animal,Which bird is the symbol of peace?,Dove,Peacock,Robin,Crow  
Animal,What do birds use to build nests?,Twigs,Leaves,Feathers,Rocks  
Animal,Which bird can swim and lives in cold places?,Penguin,Flamingo,Hawk,Canary  
Animal,Which bird is known for its beautiful tail?,Peacock,Swan,Crow,Seagull  
Animal,What do owls mostly eat?,Mice,Seeds,Fish,Grass  
Animal,Which bird is awake at night?,Owl,Parrot,Pigeon,Swan
Animal,What is the hard outer shell of a crab called?,Exoskeleton,Carapace,Skin,Shellbone  
Animal,How many legs do most crabs have?,10,6,8,12  
Animal,What part of the crab is used for defense and feeding?,Claws,Eyes,Legs,Shell  
Animal,Where do most crabs live?,Ocean,Desert,Mountains,Forest  
Animal,What is it called when a crab sheds its shell?,Molting,Hatching,Digging,Cracking  
Animal,Which crab is known for living inside other shells?,Hermit crab,Blue crab,Spider crab,Horseshoe crab  
Animal,What do crabs use to breathe?,Gills,Lungs,Spiracles,Nostrils  
Animal,Which of these is a real species of crab?,Japanese spider crab,Red mountain crab,Sea runner crab,Flatback crab  
Animal,What do crabs eat?,Algae,Plastic,Wood,Sand  
Animal,Which crab is known for its large single claw?,Fiddler crab,Stone crab,King crab,Hermit crab
Hard General,What is the capital of Kazakhstan?,Astana,Almaty,Tashkent,Bishkek  
Hard General,Which African country has the most pyramids?,Sudan,Egypt,Libya,Algeria  
Hard General,What is the national currency of South Korea?,Won,Yuan,Yen,Ringgit  
Hard General,Which country does Greenland belong to?,Denmark,Canada,Iceland,Sweden  
Hard General,How many time zones are in Australia?,3,5,6,2  
Hard General,What is the official language of Iran?,Persian,Arabic,Turkish,Kurdish  
Hard General,What is the capital of Bhutan?,Thimphu,Katmandu,Colombo,Islamabad  
Hard General,What is the longest river in Europe?,Volga,Danube,Thames,Loire  
Hard General,Which country has the most volcanoes?,Indonesia,Japan,USA,Italy  
Hard General,What is the capital of Slovakia?,Bratislava,Belgrade,Sarajevo,Ljubljana  
Hard General,Which country does the island of Madeira belong to?,Portugal,Spain,Italy,Greece  
Hard General,What country has the most official languages?,Zimbabwe,India,Switzerland,South Africa  
Hard General,What is the smallest country in South America?,Suriname,Guyana,Uruguay,Paraguay  
Hard General,Which country has the largest Muslim population?,Indonesia,Pakistan,India,Saudi Arabia  
Hard General,Which country has no rivers?,Saudi Arabia,Jordan,Libya,Kuwait  
Hard General,What is the highest capital city in the world?,La Paz,Quito,Lhasa,Kathmandu  
Hard General,Which country spans both Europe and Asia?,Turkey,Ukraine,Kazakhstan,Georgia  
Hard General,Which country has the most UNESCO World Heritage Sites?,Italy,China,France,Germany  
Hard General,What is the capital of Moldova?,Chișinău,Tbilisi,Bucharest,Skopje  
Hard General,Which country is the only one named after a woman?,Saint Lucia,Dominica,Georgia,Estonia  
Hard General,What is the capital of Myanmar?,Naypyidaw,Yangon,Mandalay,Phnom Penh  
Hard General,Which ocean is the deepest?,Pacific,Atlantic,Indian,Arctic  
Hard General,Which sea has the highest salt concentration?,Dead Sea,Red Sea,Caspian Sea,Black Sea  
Hard General,What is the most spoken language in Africa?,Swahili,Arabic,Hausa,Yoruba  
Hard General,What country is home to the Atacama Desert?,Chile,Peru,Argentina,Bolivia  
Hard General,Which river flows through Paris?,Seine,Rhone,Loire,Danube  
Hard General,What country owns the Galápagos Islands?,Ecuador,Peru,Chile,Brazil  
Hard General,What is the currency of Egypt?,Egyptian pound,Dinar,Dirham,Rial  
Hard General,What is the capital of Uzbekistan?,Tashkent,Samarkand,Bishkek,Dushanbe  
Hard General,Which Asian country is landlocked?,Laos,Vietnam,Thailand,Malaysia  
Hard General,What is the capital of Liechtenstein?,Vaduz,Bern,Luxembourg City,Innsbruck  
Hard General,What is the capital of Eritrea?,Asmara,Addis Ababa,Khartoum,Mogadishu  
Hard General,Which mountain range separates Europe and Asia?,Ural,Himalayas,Andes,Alps  
Hard General,Which country produces the most coffee?,Brazil,Colombia,Vietnam,Ethiopia  
Hard General,What country has the oldest continuously used national flag?,Denmark,UK,Japan,Greece  
Hard General,What is the only country to have a non-rectangular flag?,Nepal,Switzerland,Bhutan,Sri Lanka  
Hard General,What is the least populated country?,Vatican City,Tuvalu,Nauru,San Marino  
Hard General,What is the capital of Kyrgyzstan?,Bishkek,Dushanbe,Ashgabat,Tashkent  
Hard General,Which European country has the most lakes?,Finland,Norway,Sweden,Austria  
Hard General,What country has the most islands?,Sweden,Indonesia,Philippines,Canada  
Hard General,Which island nation is furthest south?,New Zealand,Fiji,Tasmania,Samoa  
Hard General,Which U.S. state has the most bordering states?,Tennessee,Missouri,Texas,Colorado  
Hard General,Which city is known as the "City of a Hundred Spires"?,Prague,Budapest,Vienna,Brussels  
Hard General,Which country has a flag that features a machete?,Mozambique,Angola,Zimbabwe,Congo  
Hard General,What is the capital of Palau?,Ngerulmud,Majuro,Yaren,Suva  
Hard General,Which country has the deepest lake?,Russia,Canada,USA,Kazakhstan  
Hard General,Which country has the most pyramids in the world?,Sudan,Egypt,Peru,India  
Hard General,Which U.S. president served the shortest term?,William Henry Harrison,James Garfield,Millard Fillmore,John Tyler  
Hard General,Which empire built Machu Picchu?,Inca,Maya,Aztec,Olmec  
Hard General,Which European country has a lion, unicorn, and harp on its royal coat of arms?,United Kingdom,France,Spain,Netherlands
Science,What particle has a negative charge?,Electron,Proton,Neutron,Photon  
Science,What is the chemical symbol for tungsten?,W,Tu,Tg,Tn  
Science,Which organelle is known as the powerhouse of the cell?,Mitochondria,Nucleus,Ribosome,Chloroplast  
Science,What is the second most abundant gas in Earth's atmosphere?,Oxygen,Nitrogen,Carbon dioxide,Argon  
Science,What law explains the relationship between pressure and volume of a gas?,Boyle’s Law,Charles’s Law,Avogadro’s Law,Newton’s Law  
Science,What is the pH of pure water at 25°C?,7,0,14,4  
Science,Which vitamin is produced when the skin is exposed to sunlight?,Vitamin D,Vitamin C,Vitamin A,Vitamin B12  
Science,What element has the atomic number 26?,Iron,Copper,Zinc,Lead  
Science,What type of bond involves the sharing of electron pairs between atoms?,Covalent,Ionic,Metallic,Hydrogen  
Science,What is the name of the process plants use to convert sunlight into chemical energy?,Photosynthesis,Respiration,Fermentation,Transpiration  
Science,Which particle in an atom has no electric charge?,Neutron,Proton,Electron,Quark  
Science,What is the hardest natural substance on Earth?,Diamond,Quartz,Gold,Graphite  
Science,Which planet has the shortest day?,Jupiter,Mercury,Venus,Mars  
Science,What is the most abundant element in the human body?,Oxygen,Carbon,Hydrogen,Nitrogen  
Science,What phenomenon explains the bending of light as it passes from one medium to another?,Refraction,Diffraction,Reflection,Absorption  
Science,Which gas is responsible for the greenhouse effect?,Carbon dioxide,Oxygen,Nitrogen,Methane  
Science,What is the unit of electrical resistance?,Ohm,Watt,Ampere,Volt  
Science,Which scientist developed the theory of general relativity?,Albert Einstein,Isaac Newton,Nikola Tesla,Galileo Galilei  
Science,What is the name of the process by which a solid changes directly into a gas?,Sublimation,Evaporation,Condensation,Melting  
Science,What part of the brain controls balance and coordination?,Cerebellum,Cerebrum,Medulla,Thalamus  
Science,Which organ in the human body produces insulin?,Pancreas,Liver,Kidney,Stomach  
Science,What is the common name for the clavicle?,Collarbone,Shoulder blade,Sternum,Radius  
Science,What type of electromagnetic radiation has the shortest wavelength?,Gamma rays,X-rays,Ultraviolet,Microwaves  
Science,What kind of cells do humans have for immunity?,White blood cells,Red blood cells,Platelets,Nerve cells  
Science,What is the main gas found in the sun?,Hydrogen,Helium,Oxygen,Nitrogen  
Science,Which law states that energy cannot be created or destroyed?,First law of thermodynamics,Second law of thermodynamics,Law of conservation of momentum,Law of gravity  
Science,What element is liquid at room temperature?,Mercury,Bromine,Chlorine,Phosphorus  
Science,What is the largest internal organ in the human body?,Liver,Heart,Lung,Kidney  
Science,What is the term for animals that regulate their body temperature internally?,Endotherms,Ectotherms,Poikilotherms,Homeotherms  
Science,What force keeps planets in orbit around the sun?,Gravity,Magnetism,Centrifugal force,Nuclear force  
Science,Which molecule carries genetic information?,DNA,RNA,Protein,Lipid  
Science,What device measures atmospheric pressure?,Barometer,Thermometer,Hygrometer,Anemometer  
Science,Which vitamin is essential for blood clotting?,Vitamin K,Vitamin C,Vitamin A,Vitamin E  
Science,What is the boiling point of water at sea level in Fahrenheit?,212°F,100°F,180°F,32°F  
Science,What is the main function of red blood cells?,Transport oxygen,Defend against pathogens,Clot blood,Regulate temperature  
Science,Which metal is liquid at room temperature?,Mercury,Lead,Gold,Aluminum  
Science,What type of galaxy is the Milky Way?,Spiral,Elliptical,Irregular,Lenticular  
Science,What is the smallest unit of life?,Cell,Atom,Molecule,Organ  
Science,What phenomenon explains why the sky appears blue?,Rayleigh scattering,Diffraction,Reflection,Refraction  
Science,Which part of the eye controls the amount of light that enters?,Iris,Cornea,Retina,Lens  
Science,What is the main gas responsible for acid rain?,Sulfur dioxide,Nitrogen,Carbon dioxide,Oxygen  
Science,Which process breaks down glucose to produce energy in cells?,Cellular respiration,Photosynthesis,Fermentation,Transpiration  
Science,What is the name of the force that opposes motion between two surfaces?,Friction,Gravity,Tension,Compression  
Science,What is the chemical formula for table salt?,NaCl,KCl,CaCl2,MgCl2  
Science,Which scientist is known for the laws of motion?,Isaac Newton,Albert Einstein,Galileo Galilei,Nikola Tesla  
Science,What is the function of ribosomes in a cell?,Protein synthesis,DNA replication,Energy production,Waste removal  
Science,What is the term for animals that eat both plants and meat?,Omnivores,Carnivores,Herbivores,Detritivores  
Science,What natural disaster is measured using the Richter scale?,Earthquake,Volcano,Hurricane,Tornado
Science,What is the term for the measure of a material's resistance to deformation?,Hardness,Density,Viscosity,Elasticity  
Science,Which subatomic particle was discovered by J.J. Thomson in 1897?,Electron,Proton,Neutron,Photon  
